station_id,n_years,days_below_trend,days_below_p,days_below_sen,nm7q_trend,nm7q_p,nm7q_sen,min_year,days_below_p_fdr,nm7q_p_fdr
DESM_DEBB6602600,34,increasing,0.006097139917784489,0.8181818181818182,decreasing,0.000690619202469378,-0.12161904761904753,2003,0.014400481779504155,0.003646063142448628
DESM_DEBB6940000,34,no trend,0.8002901033993417,0.0,no trend,0.9136301036401862,0.006326530612244895,2006,0.8601920572465979,0.9303005374827776
DESM_DEBB6950900,32,increasing,0.0011011819487161123,1.8377192982456139,decreasing,0.032229828676073824,-0.00846571428571429,2020,0.0038011953806642725,0.05589617630294929
DESM_DEBE5827700,34,no trend,0.08545429152509176,-0.5,increasing,0.03126187277687831,0.10376623376623369,1994,0.12370197845769332,0.05448064236358889
DESM_DEBW1140,34,increasing,0.026711985379674896,0.56,decreasing,0.009665641902533384,-0.009767857142857217,2022,0.04588326675264731,0.022828720019799242
DESM_DEBW1144,34,no trend,0.5927209494897088,0.0,decreasing,0.024659856023290683,-0.012160714285714283,1998,0.6587827271418125,0.045633444909079154
DESM_DEBW1151,34,increasing,0.0006515845996177827,2.0,decreasing,0.0007729958128890324,-0.00838345864661654,2018,0.002751986720738635,0.003964364240388038
DESM_DEBW1462,34,increasing,0.019301492512038942,0.5384615384615384,decreasing,0.022745729765423883,-0.11465476190476205,2018,0.035534542624728105,0.04320485177665172
DESM_DEBW162,34,increasing,0.00010061765701130376,0.7857142857142857,decreasing,0.0105707340667196,-0.00683333333333333,1998,0.0007082693895501578,0.02401831348071099
DESM_DEBW168,34,no trend,0.06081694918575553,0.4,no trend,0.10375550597046113,-0.007214285714285715,2016,0.09370508479693664,0.14781042318807755
DESM_DEBW212,34,no trend,0.312782288674867,0.0,no trend,0.3771382028423258,-0.002397959183673724,1992,0.3832383673524821,0.4468403129385972
DESM_DEBW2340,34,increasing,0.04238012079505138,0.7,no trend,0.06081694918575553,-0.0418881987577639,2016,0.06947243545855454,0.09370508479693664
DESM_DEBW2360,34,no trend,0.1585421766189281,0.1111111111111111,no trend,0.23284204679391474,-0.019071428571428527,1998,0.2102470850255014,0.2892397743910567
DESM_DEBW2432,34,increasing,0.00010061765701130376,2.0,decreasing,0.00016645426937156316,-0.0018928571428571406,2017,0.0007082693895501578,0.0014939270676097792
DESM_DEBW3301,34,increasing,0.01632203135091892,0.75,decreasing,0.005039645462999731,-0.00580952380952381,2020,0.03100322357132218,0.014473861769735228
DESM_DEBW3313,34,no trend,0.3733636355831278,0.0,no trend,0.2992115611491839,-0.0031275510204081653,2004,0.4423681358889204,0.3628951028802602
DESM_DEBW3318,34,increasing,0.0007729958128890324,1.5416666666666667,decreasing,0.00043607298312720033,-0.0074945054945055175,2022,0.0030495109541446444,0.002699141395563188
DESM_DEBW3422,34,increasing,0.0009657811726462295,1.7727272727272727,decreasing,0.00005993847754948156,-0.010626984126984072,2022,0.003537912663061188,0.0008276120553947647
DESM_DEBW3498,34,increasing,0.004575723489820938,1.2857142857142858,decreasing,0.004575723489820938,-0.040607142857142856,2022,0.011650246332239125,0.013464628957751775
DESM_DEBW364,34,increasing,0.000020354748687889668,1.875,decreasing,0.000013371844147291867,-0.0032,2018,0.000260443995014407,0.0002823818852281047
DESM_DEBW390,34,increasing,7.538609621882131e-6,1.5,decreasing,0.0000402535754033817,-0.09597802197802165,2022,0.0001691475533909803,0.0006283058073832187
DESM_DEBW411,34,no trend,0.0835321021587554,0.0,decreasing,0.01632203135091892,-0.033797619047619055,2018,0.12190253932924058,0.03255338474988829
DESM_DEBW431,34,increasing,0.001339669632830276,1.52,decreasing,0.002270198884772201,-0.012081632653061222,2018,0.004494779422299711,0.007688692449370002
DESM_DEBW4422,33,increasing,0.005553981920621398,1.4365079365079365,decreasing,0.00026356866715215865,-0.07719897959183657,2022,0.013472158847993798,0.002117974670094476
DESM_DEBW461,32,no trend,0.18493228677225515,0.2152777777777778,no trend,0.06641490832840091,-0.0032407407407407714,2015,0.24230179179284525,0.10102945800803359
DESM_DEBW47834,34,increasing,0.0027859259012594784,1.1333333333333333,decreasing,0.01632203135091892,-0.007233766233766231,2019,0.007875176366552383,0.03255338474988829
DESM_DEBW57123,34,increasing,0.001843338256175775,2.1666666666666665,decreasing,0.0004898560790442819,-0.0037142857142857142,2004,0.005804898543571081,0.002836424715756406
DESM_DEBW60682,34,increasing,0.01701302931587856,1.0,decreasing,0.04909215788996657,-0.005571428571428571,2019,0.03214567118105475,0.07798267558627432
DESM_DEBW76179,34,increasing,0.00923112309412244,1.0,decreasing,0.005039645462999731,-0.017763975155279502,2014,0.01984415084305363,0.014473861769735228
DESM_DEBW76187,34,increasing,3.607017793560985e-6,2.5416666666666665,decreasing,8.711981009046355e-6,-0.046194805194805205,2022,0.00014387993198759926,0.00024058470632674166
DESM_DEBY10039802,34,increasing,0.0004898560790442819,1.3846153846153846,decreasing,0.001202307016299864,-1.1021978021978016,2022,0.0021982291547112147,0.005200339986164471
DESM_DEBY10046105,34,increasing,0.013754506203426553,0.6666666666666666,decreasing,0.0105707340667196,-1.0357142857142847,2018,0.027585853223632027,0.02401831348071099
DESM_DEBY10053009,34,increasing,0.0105707340667196,0.6666666666666666,no trend,0.05276960196901781,-1.0,2022,0.022063334476467075,0.08236646568207563
DESM_DEBY11401009,34,no trend,0.3289911279552147,-0.07142857142857142,no trend,0.36062734198879776,0.021857142857142974,1996,0.40036547435905784,0.4286927674635046
DESM_DEBY11584000,34,no trend,0.8645901223193673,0.0,no trend,0.9382480146046128,0.0029220779220779317,2022,0.89975313115111,0.9408688191146816
DESM_DEBY11723504,34,increasing,0.0004898560790442819,1.0,decreasing,0.001339669632830276,-0.032571428571428605,1992,0.0021982291547112147,0.0055280620481157365
DESM_DEBY11805008,34,increasing,0.005039645462999731,1.5,decreasing,0.0006164642907660056,-0.015683673469387743,2015,0.012307705586509546,0.0033031444833581496
DESM_DEBY11942009,34,increasing,0.011550443264152666,0.88,decreasing,0.001843338256175775,-0.004999999999999856,2018,0.023560279158129582,0.006617584339671032
