water_year,index_days,index_deficit,index_ssi,n_stations,coverage_area_km2
1991,37.970893006584454,1.7721934781719768,-0.9927750049211859,203,506648.0
1992,62.81198956364419,2.3008933097024338,-1.0322717003443214,204,506307.0
1993,15.807148450366968,0.3462403694537657,-0.3473819293622632,206,506991.0
1994,10.636969070270672,0.25178990064386303,0.01611129223205141,207,511579.0
1995,2.3606607991495747,0.0752540010459043,0.913701115581511,208,511744.0
1996,12.341152998374188,0.6804903150829201,0.2623808672529144,208,511744.0
1997,10.82178198474237,0.48751002115707925,0.3021050346616631,208,511744.0
1998,17.305350884238862,0.7767702102932457,0.04399520208412209,206,510439.0
1999,5.764843934724793,0.10549060603541104,0.31838401334924216,207,511741.0
2000,4.507869486841583,0.08561842427611434,-0.005395096958819776,205,453778.0
2001,4.61954847692966,0.08879964567615085,0.6380717403907811,207,460353.0
2002,0.8072745767810423,0.02824717847835205,0.9986989824804842,207,505294.0
2003,60.84789465045022,3.2114825913035903,-1.512206346055405,208,511744.0
2004,43.03582826254209,1.3546457104701886,-0.6530102494601282,207,500415.0
2005,9.254778533816932,0.29686499272459005,-0.23253330611738923,207,500415.0
2006,32.67486985801784,2.7086462853481375,0.14535962570534272,207,500415.0
2007,7.149254119081163,0.2477684937940337,0.2659867580945445,207,500415.0
2008,14.62932366136107,0.3296905871789828,-0.4183214727643108,207,500415.0
2009,19.613197046451447,1.0293477238355062,-0.2845123087264984,207,500415.0
2010,7.632666633281587,0.36630699794279736,1.0905132089271556,206,499225.0
2011,16.021887326144398,0.7930756952034763,-0.5134160167502163,205,499193.0
2012,22.793320454981764,1.50679124575525,-0.357641129188321,206,500064.0
2013,3.7825138382287067,0.12980816558950267,1.456295387262255,206,500064.0
2014,6.943399434092046,0.2888870061344603,0.019588288386323045,208,511744.0
2015,62.49726425712856,2.4967818663746204,-1.2188812457041307,208,511744.0
2016,41.55587559404702,2.226942595786207,-0.11977325773498916,208,511744.0
2017,25.78813712117649,2.1713239504383726,-0.2988888049680756,207,510264.0
2018,93.4935431784061,5.772039498732856,-1.8738545538448688,207,511552.0
2019,89.38360323095208,5.163978861098129,-1.085310638277236,207,511552.0
2020,50.80124046398199,1.9401528670555805,-1.0206760053177173,208,511744.0
2021,17.027687991109165,0.6050361415010564,0.31587659473174157,205,511088.0
2022,65.92495828179908,4.1198763323816845,-1.6268877396335348,202,509370.0
2023,47.639099337014166,1.6931316535766099,-0.9048300024727475,197,505139.0
2024,8.850939619371994,0.16303886027246603,0.8457995349929133,192,502065.0
2025,53.51361832487619,2.1770291361493093,-1.3897126134403828,204,508249.0
